Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Pašilaičių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,312,"2011-12-15 sutartis nr. A64-162 (3.10.22-FN4) UAB ""Vėjų fėja""","4,950.00",Pašilaičių seniūnijos renginio (Kalėdų eglutės šventės) techninis parūpinimas ir įgarsinimas,"Asociacija ""Visas pasaulis manyje"", UAB ""Agentūra ŪPAS"", UAB ""Vejų fėja"""
Miesto ūkio ir transporto d-tas,BVPŽ kodas 45112700-5,313,Nepradėtas pirkimas,,"Gatvių pavadinimų lentelių, statinių numerių gamyba ir tvirtinimo darbai",
Senamiesčio seniūnija,BVPŽ kodas 45236290-9,314,"Nevykdė pirkimo, nes per ilgai vizavo raštą",,Laiptų remontas (pakopų pakeitimas) Olandų g. 55,
Aprūpinimo ir transporto skyrius,BVPŽ kodas 31154000-0,315,"2011-12-16 sutartis Nr. A68-33 (3.10.23-FN4) UAB ""Dussmann Service""",9999.44,Nepertraukiamos srovės maitinimo šaltiniai,"UAB ""GETEKS"", UAB ""Dussmann Service"", UAB ""VARICOM"""
Personalo d-tas,24 paslaugų kategorija BVPŽ kodas 80522000-9,316,"2011-12-09  PVM sąskaita faktūra Nr. 006065 UAB ""Mokesčių srautas""",804.65,Naujoji CPK redakcija - efektyvesnis civilinis procesas?,"UAB ""Mokesčių sautas"""
Verkių seniūnija,BVPŽ kodas 45236290-9,317,"2011-12-13 sutartis Nr. A62-138 (3.10.21-FN4) UAB ""Stebulė""","2,904.00",Verkių seniūnijos suolų įrengimo ir remonto darbai,"UAB ""Vilniaus Zunda"", UAB ""Trajana"", UAB ""Stebulė"""
Viešųjų ryšių skyrius,KAT13 kategorija BVPŽ kodas 793415000-1,318,,"9,873.60",Radijo reklamos paslaugos,"UAB ""Interbanga"", UAB ""Laisvoji banga"", UAB ""Radijo stotis M-1 Plius"""
Lazdynų seniūnija,BVPŽ kodas 45453100-8,319,"2011-12-20 sutartis Nr. A62-141 (3.10.21-FN4) UAB ""Stebulė""","2,000.00",Seniūnijos teritorijoje eančių suoliukų remontas,"UAB ""Statvilsta"", UAB 'Stebulė"", UAB ""Ostas"""
Šeškinės seniūnija,K-26 paslaugų kategorija BVPŽ kodas 92300000-4,320,"2011-12-15 sutartis Nr. A64-161 (3.10.22-FN4) VšĮ ""Mes Jėga""","1,975.00",Šeškinės bendruomenės renginių organizavimas,"VšĮ ""Mes jėga"", Įmonė ""Tamsta"", UAB ""VAITAITAU"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45315100-9,321,"2011-12-08 sutartis Nr. A62-137 (3.10.21-FN4) UAB ""Švenčių studija""","19,965.00",Savivaldybės administracijos pastato (Konstitucijos pr. 3) Šv. Kalėdų šventinių papuošimų darbai,"VšĮ ""Oreivystės centras"", UAB ""Švenčių studija"", UAB ""Aušros Vartų meno galerija"""
Ekonomikos ir investicijų d-tas,23 paslaugų kategorija BVPŽ kodas 79710000-4,322,,"6,569.60",Mokyklos apsaugos paslaugos,"UAB ""Trikampis žiedas"", UAB 'GRIFS AG"", UAB ""Apsaugos komanda"""
Personalo d-tas,24 paslaugų kategorija BVPŽ kodas 80522000-9,323,2011-11-30 PVM sąskaita faktūra Nr. 78 Lietuvos projektų vadybos asociacija,500.00,"Seminaro ""Organizacijos projektų valdymo kompetencijos, jų ugdymas ir projektų vadovų sertifikavimas"" pirkimas", Lietuvos projektų vadybos asociacija
Karoliniškių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,324,"2011-12-27 sutartis Nr. A62-142(3.10.21-FN4) UAB ""Stebulė""","3,257.97",Kalėdinio renginio techninis aprūpinimas ir įgarsinimas,"UAB ""Stebulė"", UAB 'Vilniaus zunda"", UAB ""Trajana"""
Miesto ūkio ir transporto d-tas,BVPŽ kodas 45451100-4,325,pirkimas nepradėtas,,"Šventinio miesto papuošimo Vasario 16-osios, Kovo 11-osios, Mindaugo karūnavimo ir kitomis progomis darbai",
E.miesto d-tas,BVPŽ kodas 22200000-2,326,2011-12-28 SUTARTIS Nr. A68-36(3.10.23-FN4) Akcinė bendrovė Lietuvos paštas,"40,000.00",Vilniaus miesto savivaldybės administracijos laikraščių ir žurnalų prenumerata 2012 metams,"AB ""Lietuvos paštas"""
Saugaus miesto d-tas Viešosios tvarkos skyrius,BVPŽ kodas 35200000-6,327,"2011-12-23 PVM sąskaita faktūra Nr. 152 UAB ""DEVANA""","8,900.00",Elektrošokai,"UAB ""Baltic Arms"", UAB ""Explore Baltija"", UAB ""DEVANA"""
Justiniškių seniūnija,BVPŽ kodas 50700000-2,328,pirkimas nepradėtas,,Patalpų Rygos g. 15 administravimo ir priežiūros paslaugos,
