Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Antakalnio seniūnija,BVPŽ 452362909,257,"2011.11.21 sutartis Nr. A62-129 93.10.21-FN4) UAB ""Grinda""",14999.83,"Medinių vaikų žaidimo aikštelių įrengimas, priežiūra ir remontas, sporto aikštelių įrengimas, priežiūra ir remontas, suoliukų remontas","UAB ""Grinda"", UAB ""Vigbada"", UAB ""Atira"""
Panerių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,258,"2011-12-05 sutartis Nr. A64-149 (3.10.22-FN4) UAB ""Stebulė""","7,000.00",Kalėdinio renginio techninis aprūpinimas ir įgarsinimas,"UAB ""Lentvario komunalinis ūkis"", UAB 'Stebulė"", UAB 'Vilniaus zunda"""
Personalo d-tas,24 paslaugų kategorija BVPŽ kodas 80522000-9,259,"2011-11-25 PVM sąskaita faktūra Nr. 110777 UAB ""Ekonomikos mokymo centras"" ",570.00,Valstybės turto ir lėšų valdymas biudžetinėse įstaigose. Supaprastinti viešieji pirkimai,"UAB ""Ekonomikos mokymo centras"" "
Šnipiškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,260,"2011-12-16 sutartis Nr. A64-165 (3.10.22-FN4) Asociacija 'Šnipiškiečių namai""",2880,Kalėdų šventė,"Asociacija Šnipiškiečių namai, VšĮ ""Vilties žingsniai"", UAB ""Keliautojų klubas"""
Vilkpėdės seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,261,2011.11.18 sutartis Nr. A64-142(3.10.22-FN4) VšĮ Vilkpėdės bendruomenės cocialinių paslaugų centras,7097,Kalėdų šventės renginio techninis aprūpinimas ir įgarsinimas,"VšĮ Vilniaus ir Alytaus regionų aklųjų centras, VšĮ Vilkpėdės bendruomenės socialinių paslaugų centras, Lietuvos aklųjų biblioteka"
Antakalnio seniūnija,BVPŽ kodas 45233200-1,262,"2011.11.21 sutartis Nr. A62-128 (3.10.21-FN4) UAB ""Keldarista""",17600.66,"Šaligatvių ir kitų kietų dangų remontas, teritorijoje esančių laiptų remontas ","UAB ""Keldarista"", UAB ""Sostinės gatvės"", UAB ""Eurovia Lietuva"""
Žirmūnų seniūnija,27 paslaugų kategorija BVPŽ kodas 7992000-2,263,"2011.11.29 sutartis Nr. A64-145 (3.10.22-FN4)  UAB ""Stebulė""",6352.5,Renginio techninis aprūpinimas ir įgarsinimas,"UAB ""Stebulė"", UAB ""Lentvario komunalinis ūkis"", UAB ""Vilniaus Zunda"""
Justiniškių seniūnija,BVPŽ kodas 45236290-9,264,"2011-11-15 sutartis Nr. A62-127(3.10.21-FN4) UAB ""StatVilsta""",19999,"Medinių ir metalinių vaikų žaidimo aikštelių, sporto aikštelių ir suoliukų remonto darbai","UAB ""StatVilsta"", UAB ""Ostas"", UAB ""Tavastis"""
Grigiškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,265,"2011-12-14 sutartis Nr. A64-157 (3.10.22-FN4) UAB ""Almode""",3998,Kalėdinių renginių Grigiškėse organizavimas,"UAB ""Lentvario komunalinis ūkis"", UAB ""Elektrėnų švara', UAB ""Almode"""
Justiniškių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,266,"2011-12-06 sutartis Nr. A64-151 (3.10.22-FN4) UAB ""Renginių klubas""",4996.09,Justiniškių seniūnijos renginio (Kalėdų eglutės šventės) techninis aprūpinimas ir įgarsinimas,"UAB ""Renginių klubas"", UAB ""Audiocomas"", UAB ""Zap grupė"""
